bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
585	NR_024540	chr1	-	14361	29370	29370	29370	11	14361,14969,15795,16606,16857,17232,17605,17914,18267,24737,29320,	14829,15038,15947,16765,17055,17368,17742,18061,18366,24891,29370,	0	WASH7P	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
585	NR_106918	chr1	-	17368	17436	17436	17436	1	17368,	17436,	0	MIR6859-1	unk	unk	-1,
585	NR_107062	chr1	-	17368	17436	17436	17436	1	17368,	17436,	0	MIR6859-2	unk	unk	-1,
585	NR_107063	chr1	-	17368	17436	17436	17436	1	17368,	17436,	0	MIR6859-3	unk	unk	-1,
585	NR_128720	chr1	-	17368	17436	17436	17436	1	17368,	17436,	0	MIR6859-4	unk	unk	-1,
585	NR_036051	chr1	+	30365	30503	30503	30503	1	30365,	30503,	0	MIR1302-2	unk	unk	-1,
585	NR_036266	chr1	+	30365	30503	30503	30503	1	30365,	30503,	0	MIR1302-9	unk	unk	-1,
585	NR_036267	chr1	+	30365	30503	30503	30503	1	30365,	30503,	0	MIR1302-10	unk	unk	-1,
585	NR_036268	chr1	+	30365	30503	30503	30503	1	30365,	30503,	0	MIR1302-11	unk	unk	-1,
585	NR_026818	chr1	-	34610	36081	36081	36081	3	34610,35276,35720,	35174,35481,36081,	0	FAM138A	unk	unk	-1,-1,-1,
585	NR_026820	chr1	-	34610	36081	36081	36081	3	34610,35276,35720,	35174,35481,36081,	0	FAM138F	unk	unk	-1,-1,-1,
585	NR_026822	chr1	-	34610	36081	36081	36081	3	34610,35276,35720,	35174,35481,36081,	0	FAM138C	unk	unk	-1,-1,-1,
586	NR_039983	chr1	-	134772	140566	140566	140566	3	134772,139789,140074,	139696,139847,140566,	0	LOC729737	unk	unk	-1,-1,-1,
85	NR_047618	chrY	-	13248378	13480670	13480670	13480670	32	13248378,13251016,13260277,13297706,13298956,13299976,13302876,13305398,13306037,13306185,13323554,13324600,13326220,13335562,13355002,13355374,13355922,13357876,13358463,13359087,13359766,13360429,13366266,13369255,13393858,13396917,13410992,13414734,13449016,13470120,13479253,13479513,	13249882,13251187,13260404,13297848,13299144,13300068,13302991,13305547,13306112,13306250,13323760,13324706,13326350,13336335,13355092,13355398,13356018,13357969,13358619,13359222,13359986,13360528,13366393,13369349,13393893,13396972,13411113,13414793,13449066,13470229,13479317,13480670,	0	UTY	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
586	NR_106918	chr1	-	187890	187958	187958	187958	1	187890,	187958,	0	MIR6859-1	unk	unk	-1,
586	NR_107062	chr1	-	187890	187958	187958	187958	1	187890,	187958,	0	MIR6859-2	unk	unk	-1,
586	NR_107063	chr1	-	187890	187958	187958	187958	1	187890,	187958,	0	MIR6859-3	unk	unk	-1,
586	NR_128720	chr1	-	187890	187958	187958	187958	1	187890,	187958,	0	MIR6859-4	unk	unk	-1,
586	NR_026823	chr1	-	205128	206597	206597	206597	3	205128,205792,206236,	205690,205995,206597,	0	FAM138D	unk	unk	-1,-1,-1,
586	NM_012314	chr19_KV575248v1_alt	+	134344	150212	134402	149580	9	134344,136716,139214,141065,141146,144504,148820,149387,149538,	134436,136753,139513,141146,141337,144555,148925,149440,150212,	0	KIR2DS4	cmpl	cmpl	0,1,2,1,2,1,1,1,0,
588	NR_028322	chr1	-	490755	495445	495445	495445	3	490755,494991,495276,	494898,495049,495445,	0	LOC100132287	unk	unk	-1,-1,-1,
588	NR_028325	chr1	-	490755	495445	495445	495445	3	490755,494991,495276,	494898,495049,495445,	0	LOC100132062	unk	unk	-1,-1,-1,
589	NR_125957	chr1	-	627379	629009	629009	629009	3	627379,627960,628918,	627823,628223,629009,	0	LOC101928626	unk	unk	-1,-1,-1,
1004	NM_001351151	chr12	-	54948302	54973732	54961168	54963138	9	54948302,54961167,54962430,54963784,54966052,54966387,54967182,54967842,54973476,	54950390,54961267,54963242,54963950,54966151,54966424,54967236,54968013,54973732,	0	TESPA1	cmpl	cmpl	-1,0,0,-1,-1,-1,-1,-1,-1,
1769	NM_016020	chr6	-	155256133	155314484	155257835	155314428	7	155256133,155260272,155285157,155296952,155298476,155311187,155314295,	155258082,155260400,155285277,155297104,155298585,155311339,155314484,	0	TFB1M	cmpl	cmpl	2,0,0,1,0,1,0,
1066	NM_015920	chr15	-	63148248	63157477	63154031	63157405	4	63148248,63155620,63156412,63157399,	63154060,63155731,63156521,63157477,	0	RPS27L	cmpl	cmpl	1,1,0,0,
591	NR_103536	chr1	+	817370	819834	819834	819834	2	817370,818722,	818202,819834,	0	FAM87B	unk	unk	-1,-1,
591	NR_024321	chr1	-	826205	827522	827522	827522	1	826205,	827522,	0	LINC00115	unk	unk	-1,
152	NM_001376709	chr6	-	83552885	83709101	83556152	83707927	28	83552885,83556142,83560103,83560863,83575009,83576022,83580449,83582221,83591210,83592945,83593181,83593477,83594373,83601270,83601584,83605684,83607698,83610649,83616968,83623300,83641095,83656753,83658998,83661501,83662346,83665438,83707797,83709043,	83554285,83556245,83560208,83560947,83575121,83576053,83580599,83582356,83591294,83593017,83593259,83593741,83594481,83601438,83601599,83605803,83607808,83610677,83617039,83623342,83641202,83656865,83659092,83661604,83662422,83665581,83707957,83709101,	0	SNAP91	cmpl	cmpl	-1,0,0,0,2,1,1,1,1,1,1,1,1,1,1,2,0,2,0,0,1,0,2,1,0,1,0,-1,
152	NM_001376708	chr6	-	83552885	83709393	83556152	83707927	28	83552885,83556142,83560103,83560863,83575009,83576022,83580449,83582221,83591210,83592945,83593181,83593477,83594373,83601270,83601584,83605684,83607698,83610649,83616968,83623300,83641095,83656753,83658998,83661501,83662346,83665438,83707797,83709121,	83554285,83556245,83560208,83560947,83575121,83576053,83580599,83582356,83591294,83593017,83593259,83593741,83594481,83601438,83601599,83605803,83607808,83610677,83617039,83623342,83641202,83656865,83659092,83661604,83662422,83665581,83707957,83709393,	0	SNAP91	cmpl	cmpl	-1,0,0,0,2,1,1,1,1,1,1,1,1,1,1,2,0,2,0,0,1,0,2,1,0,1,0,-1,
591	NR_027055	chr1	-	868070	876802	876802	876802	3	868070,874111,876745,	868675,875155,876802,	0	FAM41C	unk	unk	-1,-1,-1,
73	NR_026874	chr1	-	916817	919692	919692	919692	4	916817,918021,918824,919334,	917720,918175,918915,919692,	0	LINC02593	unk	unk	-1,-1,-1,-1,
73	NR_122045	chr1	-	916817	919692	919692	919692	4	916817,918021,918824,919334,	917720,918115,918915,919692,	0	LINC02593	unk	unk	-1,-1,-1,-1,
1030	NM_001363181	chr8	+	58411360	58451501	58411385	58447551	7	58411360,58416849,58430518,58433159,58434394,58445906,58447388,	58411469,58416953,58430669,58433243,58434504,58446068,58451501,	0	UBXN2B	cmpl	cmpl	0,0,2,0,0,2,2,
1010	NM_001363177	chr8	-	55738758	55773378	55740131	55756394	7	55738758,55743480,55745060,55750963,55756243,55763935,55773268,	55740218,55743620,55745121,55751157,55756411,55763980,55773378,	0	TMEM68	cmpl	cmpl	0,1,0,1,0,-1,-1,
588	NM_001371356	chr7_KV880765v1_fix	+	425900	466133	426427	464260	7	425900,426413,429536,439609,441521,446051,463982,	425956,426519,429637,439760,441657,446160,466133,	0	BCAP29	cmpl	cmpl	-1,0,2,1,2,0,1,
588	NM_001371357	chr7_KV880765v1_fix	+	425900	468267	426427	468115	8	425900,426413,429536,439609,441521,446051,458986,468085,	425956,426519,429637,439760,441657,446160,459087,468267,	0	BCAP29	cmpl	cmpl	-1,0,2,1,2,0,1,0,
175	NM_001371357	chr7	+	107580245	107623317	107580772	107622460	8	107580245,107580758,107583881,107593954,107595866,107600396,107613331,107622430,	107580301,107580864,107583982,107594105,107596002,107600505,107613432,107623317,	0	BCAP29	cmpl	cmpl	-1,0,2,1,2,0,1,0,
1696	NM_001371359	chr1	-	145670984	145707368	145671243	145688021	10	145670984,145671216,145672729,145673656,145678448,145680911,145682499,145686476,145687811,145707316,	145671124,145671264,145673020,145673881,145678645,145681107,145682636,145686726,145688023,145707368,	0	PDZK1	cmpl	cmpl	-1,0,0,0,1,0,1,0,0,-1,
